ST,BlockID,Pos_index,TrialType,Condition,RandomDur1,TimeDur,Coherence1,RandomDur2,DirectionAngle,DirectionRes,Session,Coherence2,TrialID
65,1,25,Time,LH,0.6,1.4,0.3,0.8,168.75,94,0,0.3,66
66,1,26,Time,HH,0.4,1.8,0.3,0.8,236.25,44,0,0.3,67
67,1,27,Time,HH,0.6,1,0.3,1.6,78.75,251,0,0.3,68
68,1,28,Time,HL,0.4,1.6,0.7,0.8,33.75,245,0,0.7,69
69,1,29,Time,LL,0.4,1.6,0.7,1.2,123.75,337,0,0.7,70
70,1,30,Time,LH,0.4,1.8,0.3,1,213.75,348,0,0.3,71
71,1,31,Time,HH,0.6,1,0.3,1.6,33.75,154,0,0.3,72
72,1,32,Time,HH,0.4,1,0.3,1.2,191.25,48,0,0.3,73
73,1,33,Time,HH,0.6,0.8,0.3,1,168.75,82,0,0.3,74
74,1,34,Time,HH,0.4,1.8,0.3,1.1,348.75,82,0,0.3,75
75,1,35,Time,HL,0.5,1.4,0.7,1.1,123.75,64,0,0.7,76
76,1,36,Time,LL,0.6,1.6,0.7,1,11.25,241,0,0.7,77
77,1,37,Time,LL,0.6,1.4,0.7,1,101.25,132,0,0.7,78
78,1,38,Time,LL,0.4,1.8,0.7,1.6,146.25,236,0,0.7,79
79,1,39,Time,LL,0.4,1.2,0.7,1.6,101.25,296,0,0.7,80
