Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0002,0.0004,Chunyu,1,M,23,2025-04-23_22h37.54.705,Serial_Dependence_U,2023.2.3,Win32,238.0952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chunyu,1,M,23,2025-04-23_22h37.54.705,Serial_Dependence_U,2023.2.3,Win32,238.0952381,0.0016,29.2437,0.05,0.0505,29.2439,29.8079,29.8081,31.0444,space,1.2153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chunyu,1,M,23,2025-04-23_22h37.54.705,Serial_Dependence_U,2023.2.3,Win32,238.0952381,,,,,,,,,,,,31.052,0,31.4696,s,0.4067,,34.3877,34.8881,33.8812,34.3874,32.4789,86,33.8811,34.8882,35.3852,35.3855,36.774,1107.1,36.7746,2,37.7738,0,0,0,51,1,1.4,0.7,Time
,,Chunyu,1,M,23,2025-04-23_22h37.54.705,Serial_Dependence_U,2023.2.3,Win32,238.0952381,,,,,,,,,,,,37.7746,0,37.7766,,,,40.8836,41.3808,40.3801,40.8835,38.7775,135,40.38,41.3809,41.8752,41.8754,43.4235,1039.5,43.4239,1,44.4218,0,1,1,8,1,1.6,0.3,Time
,,Chunyu,1,M,23,2025-04-23_22h37.54.705,Serial_Dependence_U,2023.2.3,Win32,238.0952381,,,,,,,,,,,,44.4227,0,44.4228,,,,47.0569,47.5611,46.535,47.0567,45.4311,288,46.5349,47.5612,48.0561,48.0561,49.4842,1150.5,49.4844,3,50.4791,0,2,2,3,1,1.1,0.3,Time
,,Chunyu,1,M,23,2025-04-23_22h37.54.705,Serial_Dependence_U,2023.2.3,Win32,238.0952381,,,,,,,,,,,,50.4794,0,50.4796,,,,53.1038,53.599,52.598,53.1034,51.4855,46,52.5979,53.5991,54.0903,54.0905,55.4958,1119,55.4963,3,56.4954,0,3,3,48,1,1.1,0.7,Time
,,Chunyu,1,M,23,2025-04-23_22h37.54.705,Serial_Dependence_U,2023.2.3,Win32,238.0952381,,,,,,,,,,,,56.4961,0,56.4962,,,,58.8124,59.3087,58.3003,58.812,57.4994,255,58.3001,59.3088,59.8066,59.8066,61.1405,1126.9,61.1408,5,62.1405,0,4,4,45,1,0.8,0.7,Time
,,Chunyu,1,M,23,2025-04-23_22h37.54.705,Serial_Dependence_U,2023.2.3,Win32,238.0952381,,,,,,,,,,,,62.1415,0,62.1417,,,,64.8686,65.3596,64.3622,64.8683,63.1545,236,64.3619,65.3597,65.8597,65.86,67.024,945.5,67.0244,2,68.0239,0,5,5,31,1,1.2,0.7,Time
,,Chunyu,1,M,23,2025-04-23_22h37.54.705,Serial_Dependence_U,2023.2.3,Win32,238.0952381,,,,,,,,,,,,68.0245,0,68.0247,,,,70.9483,71.4453,70.4347,70.9482,69.0262,51,70.4345,71.4453,71.942,71.9421,73.361,1169.3,73.361,2,74.3598,0,6,6,33,1,1.4,0.7,Time
,,Chunyu,1,M,23,2025-04-23_22h37.54.705,Serial_Dependence_U,2023.2.3,Win32,238.0952381,,,,,,,,,,,,74.3607,0,74.3611,,,,76.7773,77.2718,76.2726,76.777,75.3692,345,76.2722,77.2719,77.7762,77.7763,79.0655,1081,79.0658,4,80.0608,0,7,7,37,1,0.9,0.3,Time
