expName,Block_resp_2.rt,ITI.started,Mask_2.started,trials.thisRepN,direction,__session,key_resp_2.rt,FeedbackID_T,block.stopped,Scale_setup.stopped,date,Feedback_Time.started,sex,screen_scale_keys.stopped,TrialType,frameRate,trials.ran,Coherence1,__experimentName,Response.stopped,ITI.stopped,rectangel_keys.started,participant,Block_id,OS,screen_scale_keys.started,key_resp_2.keys,psychopyVersion,rectangel_keys.stopped,age,Y Scale,M2.started,Intro.stopped,Feedback_Time.stopped,trials.thisN,TimeDur,keyDuration,block.started,__participant,Cue.started,M2.stopped,Response.started,X Scale,session,Cue.stopped,trials.thisIndex,__datetime,Intro.started,Scale_setup.started,Mask_2.stopped,Block_resp_2.keys,trials.thisTrialN
﻿Serial_Dependence_U,,,,,,001,,,,0.00019999998806952135,2025-04-30_21h18.33.942,,m,,,238.09523809622803,,,SDMT1,,,,048844,,Win32,,,2023.2.3,,19,,,,,,,,,048844,,,,,001,,,2025-04-30_21h14.19.501,,9.999999406318238e-05,,,
﻿Serial_Dependence_U,,,,,,001,457.4170999999941,,,,2025-04-30_21h18.33.942,,m,205.17989999997613,,238.09523809622803,,,SDMT1,,,205.18009999999398,048844,,Win32,0.0009999999999763531,space,2023.2.3,233.78789999997613,19,0.0458,,691.2245,,,,,,048844,,,,0.0469,001,,,2025-04-30_21h14.19.501,233.788099999994,,,,
﻿Serial_Dependence_U,6.5094000000059395,700.6635,700.1575999999941,0,242,001,,2,697.7535,,2025-04-30_21h18.33.942,703.3462999999821,m,,Time,238.09523809622803,1,0.3,SDMT1,703.3460999999941,701.161599999994,,048844,0,Win32,,,2023.2.3,,19,,698.7556999999881,,704.346599999994,0,1.4,990,691.2308999999761,048844,701.161599999994,700.1575999999941,701.662099999994,,001,701.6618999999762,24,2025-04-30_21h14.19.501,,,700.6633999999761,s,0
﻿Serial_Dependence_U,,707.457599999994,706.957,0,69,001,,1,704.3477999999822,,2025-04-30_21h18.33.942,710.8515,m,,Time,238.09523809622803,1,0.7,SDMT1,710.8515,707.9573999999761,,048844,0,Win32,,,2023.2.3,,19,,705.3552999999821,,711.8498999999762,1,1.6,1015.5999999940395,704.3468999999761,048844,707.9573999999761,706.957,708.459099999994,,001,708.459099999994,17,2025-04-30_21h14.19.501,,,707.4573999999761,,1
﻿Serial_Dependence_U,,714.6572999999821,714.157,0,111,001,,3,711.850199999988,,2025-04-30_21h18.33.942,717.642599999994,m,,Time,238.09523809622803,1,0.3,SDMT1,717.6423999999762,715.157099999994,,048844,0,Win32,,,2023.2.3,,19,,712.8535,,718.6416999999881,2,1.3,1270.300000011921,711.8500999999941,048844,715.157099999994,714.1568999999762,715.6542999999821,,001,715.6541999999881,5,2025-04-30_21h14.19.501,,,714.6572999999821,,2
﻿Serial_Dependence_U,,721.1485999999941,720.6458999999761,0,88,001,,2,718.642099999994,,2025-04-30_21h18.33.942,723.7502999999821,m,,Time,238.09523809622803,1,0.3,SDMT1,723.7501999999881,721.6485999999941,,048844,0,Win32,,,2023.2.3,,19,,719.6421999999881,,724.748099999994,3,1,778.9000000059605,718.642,048844,721.6485999999941,720.6457999999822,722.1488999999762,,001,722.1488999999762,20,2025-04-30_21h14.19.501,,,721.1485,,3
﻿Serial_Dependence_U,,727.755,727.253699999988,0,357,001,,3,724.7482999999821,,2025-04-30_21h18.33.942,731.4583999999761,m,,Time,238.09523809622803,1,0.7,SDMT1,731.4582999999822,728.252599999994,,048844,0,Win32,,,2023.2.3,,19,,725.7501999999881,,732.456199999988,4,1.5,1441.9000000059605,724.7482999999821,048844,728.252599999994,727.253699999988,728.752599999994,,001,728.7524999999999,16,2025-04-30_21h14.19.501,,,727.7548999999761,,4
﻿Serial_Dependence_U,,734.8652999999821,734.362599999994,0,36,001,,2,732.4565,,2025-04-30_21h18.33.942,737.450699999988,m,,Time,238.09523809622803,1,0.7,SDMT1,737.450699999988,735.3661999999881,,048844,0,Win32,,,2023.2.3,,19,,733.4581999999881,,738.4518999999761,5,0.9,853.3000000119209,732.4563999999762,048844,735.3661999999881,734.3625,735.8645999999941,,001,735.8645999999941,46,2025-04-30_21h14.19.501,,,734.865199999988,,5
﻿Serial_Dependence_U,,741.566199999988,741.0603999999762,0,310,001,,3,738.4520999999941,,2025-04-30_21h18.33.942,744.5868999999761,m,,Time,238.09523809622803,1,0.3,SDMT1,744.5867999999821,742.0643999999761,,048844,0,Win32,,,2023.2.3,,19,,739.4573999999761,,745.5852999999821,6,1.6,1549.4000000059605,738.4520999999941,048844,742.0645,741.0603999999762,742.5641999999881,,001,742.5641999999881,8,2025-04-30_21h14.19.501,,,741.566099999994,,6
﻿Serial_Dependence_U,,748.3935,747.891099999994,0,217,001,,3,745.585699999988,,2025-04-30_21h18.33.942,751.4797999999821,m,,Time,238.09523809622803,1,0.7,SDMT1,751.479699999988,748.8935999999941,,048844,0,Win32,,,2023.2.3,,19,,746.587,,752.4805999999941,7,1.3,1300.8999999761581,745.5855999999941,048844,748.8935999999941,747.891,749.3932999999821,,001,749.393199999988,14,2025-04-30_21h14.19.501,,,748.3933999999762,,7
﻿Serial_Dependence_U,,754.7866999999881,754.285099999994,0,303,001,,2,752.4807999999821,,2025-04-30_21h18.33.942,756.8532999999821,m,,Time,238.09523809622803,1,0.7,SDMT1,756.8531999999881,755.2847999999822,,048844,0,Win32,,,2023.2.3,,19,,753.4813999999761,,757.851599999994,8,0.8,649.8000000119209,752.4806999999881,048844,755.2847999999822,754.285,755.7847999999822,,001,755.7847999999822,45,2025-04-30_21h14.19.501,,,754.7866999999881,,8
