Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0003,0.0005,182072,001,,,2025-05-19_19h59.07.529,Serial_Dependence_U,2023.2.3,Win32,238.0952381,6776816f12ad2c97726dd2ab,68224bc8a476e0f1ff0bf7fa,682b7e5e68da843fe2e2d427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,182072,001,,,2025-05-19_19h59.07.529,Serial_Dependence_U,2023.2.3,Win32,238.0952381,6776816f12ad2c97726dd2ab,68224bc8a476e0f1ff0bf7fa,682b7e5e68da843fe2e2d427,0.0016,78.2494,0.0339,0.0331,78.2495,98.027,98.0271,108.5658,space,10.5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,182072,001,,,2025-05-19_19h59.07.529,Serial_Dependence_U,2023.2.3,Win32,238.0952381,6776816f12ad2c97726dd2ab,68224bc8a476e0f1ff0bf7fa,682b7e5e68da843fe2e2d427,,,,,,,,,,,,108.57,0,110.6109,s,2.0318,,113.1229,113.6221,112.6184,113.1228,111.615,310,112.6183,113.6222,114.1225,114.1227,115.7588,649.8,115.7591,1,116.7575,0,0,0,6,1,1,0.7,Time
,,182072,001,,,2025-05-19_19h59.07.529,Serial_Dependence_U,2023.2.3,Win32,238.0952381,6776816f12ad2c97726dd2ab,68224bc8a476e0f1ff0bf7fa,682b7e5e68da843fe2e2d427,,,,,,,,,,,,116.7578,0,116.7587,,,,119.0662,119.5663,118.5629,119.066,117.7606,121,118.5627,119.5663,120.0668,120.0668,121.4016,626.4,121.4016,2,122.3985,0,1,1,25,1,0.8,0.7,Time
,,182072,001,,,2025-05-19_19h59.07.529,Serial_Dependence_U,2023.2.3,Win32,238.0952381,6776816f12ad2c97726dd2ab,68224bc8a476e0f1ff0bf7fa,682b7e5e68da843fe2e2d427,,,,,,,,,,,,122.3987,0,122.3988,,,,125.3055,125.8061,124.8023,125.3053,123.4012,114,124.8022,125.8062,126.3048,126.3048,128.0666,1301.3,128.0668,2,129.0665,0,2,2,28,1,1.4,0.7,Time
,,182072,001,,,2025-05-19_19h59.07.529,Serial_Dependence_U,2023.2.3,Win32,238.0952381,6776816f12ad2c97726dd2ab,68224bc8a476e0f1ff0bf7fa,682b7e5e68da843fe2e2d427,,,,,,,,,,,,129.0668,0,129.0669,,,,131.5784,132.0786,131.0745,131.5784,130.0687,209,131.0744,132.0788,132.5765,132.5765,133.9263,918.7,133.9265,2,134.9245,0,3,3,16,1,1,0.7,Time
,,182072,001,,,2025-05-19_19h59.07.529,Serial_Dependence_U,2023.2.3,Win32,238.0952381,6776816f12ad2c97726dd2ab,68224bc8a476e0f1ff0bf7fa,682b7e5e68da843fe2e2d427,,,,,,,,,,,,134.9249,0,134.9249,,,,138.0303,138.5283,137.5273,138.0302,135.9247,215,137.5273,138.5283,139.027,139.027,139.1812,133.9,139.1815,1,140.1939,0,4,4,24,1,1.6,0.3,Time
,,182072,001,,,2025-05-19_19h59.07.529,Serial_Dependence_U,2023.2.3,Win32,238.0952381,6776816f12ad2c97726dd2ab,68224bc8a476e0f1ff0bf7fa,682b7e5e68da843fe2e2d427,,,,,,,,,,,,140.1941,0,140.1943,,,,142.5012,142.9986,142.0007,142.5011,141.1999,66,142.0006,142.9986,143.4978,143.4979,144.8158,1005.1,144.8159,4,145.8168,0,5,5,0,1,0.8,0.3,Time
,,182072,001,,,2025-05-19_19h59.07.529,Serial_Dependence_U,2023.2.3,Win32,238.0952381,6776816f12ad2c97726dd2ab,68224bc8a476e0f1ff0bf7fa,682b7e5e68da843fe2e2d427,,,,,,,,,,,,145.817,0,145.8172,,,,148.7199,149.2199,148.2192,148.7199,146.818,61,148.2192,149.22,149.7142,149.7142,151.5068,1244.2,151.507,2,152.5073,0,6,6,18,1,1.4,0.7,Time
,,182072,001,,,2025-05-19_19h59.07.529,Serial_Dependence_U,2023.2.3,Win32,238.0952381,6776816f12ad2c97726dd2ab,68224bc8a476e0f1ff0bf7fa,682b7e5e68da843fe2e2d427,,,,,,,,,,,,152.5076,0,152.5077,,,,155.4096,155.91,154.9093,155.4096,153.5078,122,154.9092,155.91,156.4105,156.4106,157.8034,1176.6,157.8034,2,158.8003,0,7,7,3,1,1.4,0.3,Time
,,182072,001,,,2025-05-19_19h59.07.529,Serial_Dependence_U,2023.2.3,Win32,238.0952381,6776816f12ad2c97726dd2ab,68224bc8a476e0f1ff0bf7fa,682b7e5e68da843fe2e2d427,,,,,,,,,,,,158.8005,0,158.8006,,,,161.5075,162.0068,161.0027,161.5075,159.8013,154,161.0026,162.0068,162.5052,162.5052,164.0987,1340.1,164.0988,4,165.0993,0,8,8,7,1,1.2,0.7,Time
